Removed 35_36 free 	plasma-wallpapers-dynamic
Removed 35_36 free 	libtgvoip
Removed 35_36 free 	freshplayerplugin
Removed 35_36 free 	deepin-movie
Removed 34_35 free 	xmms-mplayer
Removed 34_35 free 	vcmi
Removed 34_35 nonfree 	rpmfusion-nonfree-remix-kickstarts
Removed 34_35 free 	rpmfusion-free-remix-kickstarts
Removed 34_35 nonfree 	pipelight
Removed 34_35 nonfree 	openhantek
Removed 34_35 free 	normalize
Removed 34_35 free 	gstreamer-vaapi
Removed 34_35 free 	gstreamer-plugins-ugly
Removed 34_35 free 	gstreamer-plugins-base
Removed 34_35 free 	gstreamer-plugins-bad
Removed 34_35 free 	gstreamer-ffmpeg
Removed 34_35 free 	gstreamer
Removed 34_35 free 	chromium-browser-privacy
Removed 33_34 free 	z-push
Removed 33_34 free 	openmw
Removed 33_34 nonfree 	lpf-flash-plugin
Removed 33_34 free 	fuse-exfat
Removed 33_34 free 	exfat-utils
Removed 33_34 free 	deepin-voice-recorder
Removed 33_34 free 	deepin-music
Removed 32_33 free 	vidcutter
Removed 32_33 free 	gcube
Removed 32_33 free 	freeguide
Removed 32_33 free 	fakenes
Removed 32_33 free 	deepin-screen-recorder
Removed 31_32 nonfree 	xsnow
Removed 31_32 free 	wireguard-kmod
Removed 31_32 free 	wireguard
Removed 31_32 free 	scottfree
Removed 31_32 free 	k3b-extras-freeworld
Removed 31_32 free 	chromium-vaapi
Removed 31_32 free 	chromium-libs-media-freeworld
Removed 31_32 free 	bubbros
Removed 30_31 free 	mp3gain
Removed 30_31 nonfree 	mednafen
Removed 30_31 free 	libmpeg2
Removed 30_31 nonfree 	jad
Removed 30_31 free 	gxine
Removed 30_31 nonfree 	gstreamer-plugins-bad-nonfree
Removed 30_31 nonfree 	gstreamer1-plugins-bad-nonfree
Removed 29_30 free 	yle-dl
Removed 29_30 free 	traverso
Removed 29_30 nonfree 	pcsx2
Removed 29_30 free 	nvidia-video-codec-sdk
Removed 29_30 nonfree 	Mosaic
Removed 29_30 free 	kplayer
Removed 29_30 free 	k9copy
Removed 29_30 nonfree 	gens-gs
Removed 29_30 free 	freetype-freeworld
Removed 29_30 nonfree 	comical
Removed 29_30 free 	chromium-libs-media-freeworld
Removed 29_30 free 	bombono-dvd
Removed 28_29 free 	mp3fs
Removed 28_29 free 	kwave
Removed 27_28 nonfree 	xorg-x11-drv-nvidia-304xx
Removed 27_28 free 	twolame
Removed 27_28 free 	transcode
Removed 27_28 free 	subtitleripper
Removed 27_28 nonfree 	nvidia-304xx-kmod
Removed 27_28 free 	npapi-vlc
Removed 27_28 free 	m2vmp2cut
Removed 27_28 free 	libtxc_dxtn
Removed 27_28 nonfree 	gnome-video-arcade
Removed 27_28 free 	gmediafinder
Removed 27_28 nonfree 	e-uae
Removed 27_28 free 	DVDRipOMatic
Removed 27_28 free 	dvdrip
Removed 27_28 free 	DVDAuthorWizard
Removed 27_28 free 	bcg729
Removed 26_27 free 	sox-plugins-freeworld
Removed 26_27 free 	sonic-visualiser-freeworld
Removed 26_27 nonfree 	qmc2
Removed 26_27 free 	miam-player
Removed 26_27 nonfree 	lpf-skype
Removed 26_27 nonfree 	libspotify
Removed 26_27 free 	foo2zjs
Removed 26_27 free 	ffmpeg-compat
Removed 25_26 free 	vbam
Removed 25_26 free 	qmmp-plugin-pack-freeworld
Removed 25_26 free 	pcsxr
Removed 25_26 free 	madplay
Removed 25_26 free 	libvdpau-va-gl
Removed 25_26 free 	libmad
Removed 25_26 free 	lame
Removed 25_26 free 	kmodtool
Removed 25_26 free 	dolphin-emu
Removed 25_26 free 	cAudio-freeworld
Removed 25_26 free 	akmods
Removed 25_26 free 	a52dec
Removed 24_25 free 	xmms-mp3
Removed 24_25 nonfree 	ufoai-data
Removed 24_25 free 	rpmfusion-free-remix-kickstarts
Removed 24_25 free 	perl-Crypt-IDEA
Removed 24_25 free 	mpg123
Removed 24_25 free 	mlt
Removed 24_25 free 	libdvbpsi
Removed 24_25 free 	devede
Removed 24_25 free 	chromium-libs-media-freeworld
Removed 23_24 nonfree 	php-pecl-pdflib
Removed 23_24 nonfree 	pgadmin3
Removed 23_24 free 	nailer
Removed 23_24 free 	minitube
Removed 23_24 nonfree 	mame
Removed 23_24 free 	libtunepimp-extras-freeworld
Removed 23_24 free 	kmediafactory
Removed 23_24 free 	gnome-shell-extension-weather
Removed 23_24 free 	gnome-mplayer
Removed 23_24 free 	gmtk
Removed 23_24 nonfree 	gmameui
Removed 23_24 free 	gecko-mediaplayer
Removed 23_24 free 	bsnes
Removed 22_23 free 	staging-kmod-addons
Removed 22_23 free 	staging-kmod
Removed 22_23 nonfree 	rpmfusion-nonfree-appstream-data
Removed 22_23 free 	rpmfusion-free-appstream-data
Removed 22_23 free 	oxine
Removed 22_23 nonfree 	openclonk
Removed 22_23 nonfree 	mame-data-extras
Removed 22_23 free 	kodi-pvr-addons
Removed 21_22 nonfree 	xorg-x11-drv-catalyst
Removed 21_22 free 	xbmc-pvr-addons
Removed 21_22 free 	xbmc
Removed 21_22 free 	vdr-xineliboutput
Removed 21_22 nonfree 	ufoai
Removed 21_22 nonfree 	rpmfusion-nonfree-remix-kickstarts
Removed 21_22 free 	rpmfusion-free-remix-kickstarts
Removed 21_22 free 	qtractor-freeworld
Removed 21_22 nonfree 	Mosaic
Removed 21_22 free 	minitube
Removed 21_22 free 	lightspark
Removed 21_22 free 	freeguide
Removed 21_22 nonfree 	dolphin-emu
Removed 21_22 nonfree 	catalyst-kmod
Removed 21_22 free 	cairo-dock
Removed 21_22 free 	autopano-sift-C
Removed 21_22 free 	acoustid-fingerprinter
Removed 20_21 nonfree 	xorg-x11-drv-nvidia-173xx
Removed 20_21 nonfree 	smesh
Removed 20_21 nonfree 	realcrypt
Removed 20_21 free 	openafs-kmod
Removed 20_21 free 	openafs
Removed 20_21 nonfree 	OCE
Removed 20_21 nonfree 	nvidia-173xx-kmod
Removed 20_21 free 	mpg321
Removed 20_21 nonfree 	freecad
Removed 19_20 free 	y4mscaler
Removed 19_20 nonfree 	xorg-x11-drv-catalyst
Removed 19_20 free 	xine-lib-extras-freeworld
Removed 19_20 nonfree 	rpmfusion-nonfree-package-config-smart
Removed 19_20 free 	rpmfusion-free-package-config-smart
Removed 19_20 free 	picard-freeworld
Removed 19_20 nonfree 	nvidia-xconfig
Removed 19_20 nonfree 	nvidia-settings
Removed 19_20 free 	ffmpeg2theora
Removed 19_20 nonfree 	edgar
Removed 19_20 nonfree 	catalyst-kmod
Removed 18_19 nonfree 	xorg-x11-drv-catalyst-legacy
Removed 18_19 free 	west-chamber-kmod
Removed 18_19 free 	west-chamber
Removed 18_19 free 	vlmc
Removed 18_19 nonfree 	sidplay-libs
Removed 18_19 nonfree 	sidplay
Removed 18_19 nonfree 	sdlmame-data
Removed 18_19 nonfree 	rpmfusion-free-package-config-smart
Removed 18_19 nonfree 	raine
Removed 18_19 nonfree 	paintdotnet
Removed 18_19 free 	miro
Removed 18_19 free 	libva-vdpau-driver
